Results of soil water balance simulation:
                                                                                                         Soil
                                                                         Pot.  Actual  Actual    Soil   Water          Excess
  Day   Solar     Max     Min                                          Evapo-    Soil   Plant   Water Content Drought   Water
   of    Rad.    Temp    Temp    Rain   Irrig  Runoff   Infil   Drain   Trans   Evap.  Trans. content   (mm3/  Stress  Stress
 Year (MJ/m2)    (oC)    (oC)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    (mm)    mm3)  Factor  Factor
  172    16.1    33.3    22.2    0.00    0.00    0.00    0.00    0.00    4.55    1.38    0.02  134.32   0.926   0.396   1.000
  173    16.5    33.3    22.8   13.70    0.00    0.00   13.70    0.00    4.68    1.38    0.02  146.63   1.011   0.498   1.000
  174    16.5    33.3    23.3    6.60    0.00    0.00    6.60    0.00    4.70    1.74    0.02  151.47   1.045   0.539   1.000
  175    23.9    33.9    21.1    0.50    0.00    0.00    0.50    0.00    6.74    2.70    0.03  149.24   1.029   0.520   1.000
  176    20.4    33.9    20.6    0.00    0.00    0.00    0.00    0.00    5.74    2.22    0.03  146.99   1.014   0.501   1.000
  177    17.0    33.3    23.3    6.30    0.00    0.00    6.30    0.00    4.84    1.80    0.02  151.47   1.045   0.539   1.000
  178    15.6    30.0    22.2   35.10    0.00    0.00   35.10    0.00    4.26    1.70    0.02  184.84   1.275   0.818   1.000
  179    17.7    32.2    22.8    1.00    0.00    0.00    1.00    0.00    4.96    3.02    0.04  182.79   1.261   0.801   1.000
  180    13.3    31.7    21.1    4.60    0.00    0.00    4.60    0.00    3.67    2.18    0.03  185.18   1.277   0.821   1.000
  181    21.4    32.8    21.7    0.00    0.00    0.00    0.00    0.00    5.99    3.66    0.04  181.48   1.252   0.790   1.000
  182    23.1    34.4    23.3    0.00    0.00    0.00    0.00    0.00    6.65    3.90    0.05  177.53   1.224   0.757   1.000
  183    19.3    33.9    23.3    5.10    0.00    0.00    5.10    0.00    5.53    3.11    0.04  179.48   1.238   0.773   1.000
  184    21.0    32.8    22.8    1.30    0.00    0.00    1.30    0.00    5.93    3.41    0.04  177.33   1.223   0.755   1.000
  185    22.2    35.0    22.2    0.00    0.00    0.00    0.00    0.00    6.38    3.58    0.04  173.71   1.198   0.725   1.000
  186    17.2    35.0    21.7    0.00    0.00    0.00    0.00    0.00    4.93    2.65    0.03  171.02   1.179   0.702   1.000
  187    26.4    35.6    22.2    0.00    0.00    0.00    0.00    0.00    7.84    4.09    0.05  166.87   1.151   0.668   1.000
  188    24.6    34.4    22.2    0.80    0.00    0.00    0.80    0.00    7.03    3.49    0.04  164.14   1.132   0.645   1.000
  189    21.6    34.4    21.7    0.50    0.00    0.00    0.50    0.00    6.15    2.95    0.04  161.66   1.115   0.624   1.000
  190    19.4    36.7    21.1   25.90    0.00    0.00   25.90    0.00    6.07    2.81    0.03  184.71   1.274   0.817   1.000
  191    19.2    35.0    21.7   11.90    0.00    0.00   11.90    0.00    5.50    3.34    0.04  193.23   1.333   0.888   1.000
  192    22.0    35.0    22.8    0.00    0.00    0.00    0.00    0.00    6.35    4.19    0.05  188.99   1.303   0.853   1.000
  193    21.7    35.6    23.3    0.00    0.00    0.00    0.00    0.00    6.50    4.12    0.05  184.82   1.275   0.818   1.000
  194    25.1    36.7    24.4    0.00    0.00    0.00    0.00    0.00    8.02    4.88    0.06  179.88   1.241   0.776   1.000
  195     9.2    31.1    22.2    3.80    0.00    0.00    3.80    0.00    2.54    1.47    0.02  182.20   1.257   0.796   1.000
  196     8.4    28.9    23.3    3.80    0.00    0.00    3.80    0.00    2.28    1.35    0.02  184.63   1.273   0.816   1.000
  197    24.3    33.3    22.8    0.00    0.00    0.00    0.00    0.00    6.89    4.18    0.05  180.40   1.244   0.781   1.000
  198    25.7    32.8    20.0    0.00    0.00    0.00    0.00    0.00    7.11    4.13    0.05  176.22   1.215   0.746   1.000
